plotID,date,biomass_init
AEG01,2012-05-25,1740.6667
AEG02,2012-05-24,1374.0
AEG03,2012-05-27,1359.3334
AEG04,2012-05-25,2110.6667
AEG05,2012-05-24,1563.3334
AEG06,2012-05-29,2624.0
AEG07,2012-06-01,298.6667
AEG08,2012-07-06,1065.3334
AEG09,2012-06-01,598.6667
AEG10,2012-06-02,1429.3334
AEG11,2012-05-25,2548.0
AEG12,2012-05-25,1386.6667
AEG13,2012-05-27,2362.6667
AEG14,2012-05-24,1926.6667
AEG15,2012-07-06,1454.0
AEG16,2012-05-24,1880.0
AEG17,2012-05-29,1312.6667
AEG18,2012-05-24,2243.3335
AEG19,2012-05-24,1308.0
AEG20,2012-05-26,1911.3334
AEG21,2012-05-28,2576.6667
AEG22,2012-05-29,1156.0
AEG23,2012-05-25,1556.0
AEG24,2012-05-22,2939.3335
AEG25,2012-06-02,527.3334
AEG26,2012-06-03,291.33334
AEG27,2012-06-03,348.0
AEG28,2012-05-30,840.0
AEG29,2012-06-03,1005.3334
AEG30,2012-05-28,1756.0
AEG31,2012-05-28,1204.6667
AEG32,2012-05-31,884.6667
AEG33,2012-05-30,674.0
AEG34,2012-05-31,1244.6667
AEG35,2012-05-26,1716.6667
AEG36,2012-05-26,1478.0
AEG37,2012-05-23,3253.3335
AEG38,2012-05-25,1417.3334
AEG39,2012-05-23,2476.6667
AEG40,2012-05-22,1098.6667
AEG41,2012-05-23,1919.3334
AEG42,2012-07-05,2080.0
AEG43,2012-05-28,704.0
AEG44,2012-05-28,803.3334
AEG45,2012-05-28,2595.3335
AEG46,2012-06-02,1498.0
AEG47,2012-06-04,276.6667
AEG48,2012-06-02,58.666668
AEG49,2012-05-30,1065.3334
AEG50,2012-05-28,2843.3335
HEG01,2012-05-15,2549.0
HEG02,2012-05-15,2030.0
HEG03,2012-05-15,1109.6667
HEG04,2012-05-17,4589.3335
HEG05,2012-05-16,1960.6667
HEG06,2012-05-16,1898.3334
HEG07,2012-05-18,1765.3334
HEG08,2012-05-18,1456.6667
HEG09,2012-05-21,830.3334
HEG10,2012-05-22,1617.0
HEG11,2012-05-22,1914.0
HEG12,2012-05-19,1964.3334
HEG13,2012-05-16,1645.6667
HEG14,2012-05-22,2647.6667
HEG15,2012-05-15,1522.3334
HEG16,2012-05-20,753.0
HEG17,2012-05-19,885.6667
HEG18,2012-05-22,1019.3334
HEG19,2012-05-19,1326.3334
HEG20,2012-05-21,1218.6667
HEG21,2012-05-23,588.0
HEG22,2012-05-17,2589.0
HEG23,2012-05-20,1231.3334
HEG24,2012-05-21,1851.3334
HEG25,2012-05-17,1255.0
HEG26,2012-05-24,1205.0
HEG27,2012-05-18,2118.3335
HEG28,2012-05-18,1592.3334
HEG29,2012-05-18,1719.0
HEG30,2012-05-16,1277.0
HEG31,2012-05-17,1591.0
HEG32,2012-05-19,2515.0
HEG33,2012-05-17,3335.0
HEG34,2012-05-16,1151.6667
HEG35,2012-05-16,2327.6667
HEG36,2012-05-15,1464.3334
HEG37,2012-05-14,1574.6667
HEG38,2012-05-21,1139.3334
HEG39,2012-05-21,1686.0
HEG40,2012-05-15,1906.3334
HEG41,2012-05-21,1145.6667
HEG42,2012-05-20,907.0
HEG43,2012-05-22,1165.3334
HEG44,2012-05-19,679.3334
HEG45,2012-05-20,773.6667
HEG46,2012-05-23,1268.0
HEG47,2012-05-24,1748.0
HEG48,2012-05-24,1722.3334
HEG49,2012-05-22,2267.6667
HEG50,2012-05-18,1227.0
SEG01,2012-05-19,1304.6667
SEG02,2012-05-18,1601.3334
SEG03,2012-05-17,1269.3334
SEG04,2012-05-18,2451.3335
SEG05,2012-05-17,1240.0
SEG06,2012-05-21,1305.3334
SEG07,2012-05-18,3169.3335
SEG08,2012-05-23,1402.6667
SEG09,2012-05-21,1324.0
SEG10,2012-05-19,766.0
SEG11,2012-05-19,1087.3334
SEG12,2012-05-19,731.3334
SEG13,2012-05-25,2254.0
SEG14,2012-05-18,1122.0
SEG15,2012-05-16,1452.6667
SEG16,2012-05-17,1970.6667
SEG17,2012-05-23,1939.3334
SEG18,2012-05-20,1209.3334
SEG19,2012-05-19,1113.3334
SEG20,2012-05-21,1326.0
SEG21,2012-05-21,1618.6667
SEG22,2012-05-17,1876.0
SEG23,2012-05-16,2204.6667
SEG24,2012-05-20,891.3334
SEG25,2012-05-23,1296.0
SEG26,2012-05-16,964.0
SEG27,2012-05-23,916.6667
SEG28,2012-05-20,1405.3334
SEG29,2012-05-20,801.3334
SEG30,2012-05-24,1021.3334
SEG31,2012-05-24,1734.0
SEG32,2012-05-24,1553.3334
SEG33,2012-05-25,3346.0
SEG34,2012-06-01,2582.0
SEG35,2012-05-22,1888.6667
SEG36,2012-05-22,2188.6667
SEG37,2012-05-24,528.6667
SEG38,2012-05-22,1220.6667
SEG39,2012-05-25,1068.0
SEG40,2012-05-23,726.6667
SEG41,2012-05-20,1769.3334
SEG42,2012-05-22,1241.3334
SEG43,2012-05-22,2038.0
SEG44,2012-05-22,1827.3334
SEG45,2012-05-22,2218.6667
SEG46,2012-05-25,579.3334
SEG47,2012-06-01,2133.3335
SEG48,2012-05-21,422.0
SEG49,2012-05-22,2578.6667
SEG50,2012-05-23,2186.6667
